,actor_type,actor_id,action_type,action_time,object_type,object_id,channel_type,channel_id,txn_amt,txn_fee_amt,trans_type,target_bank_code,target_acct_nbr,address_zipcode,machine_bank_code,partition_time,theme
0,customer_id,24,transfer,3696969655,saving_acct,RRQAIWQTVFEMFNHQRAKO,ATM,BGZXUBVPWOQPFUBINYEW,631.0002776695287,15.0,trans_in,A_bank,KNVIHNRTXOBJAJBGWCBD,13573,C_bank,3696969600,atm
1,customer_id,49,transfer,3696969655,saving_acct,RRQAIWQTVFEMFNHQRAKO,ATM,BGZXUBVPWOQPFUBINYEW,631.0002776695287,15.0,trans_in,A_bank,KNVIHNRTXOBJAJBGWCBD,13573,C_bank,3696969600,atm
2,customer_id,6,withdraw,3696971685,saving_acct,SICMEBNJDHPWWCVZJMUS,ATM,VMZDTVFCDQNGPUHYFVBP,73.33138973731555,15.0,trans_out,Cathay,PVLVMEUDUVGWFHEEQDWR,18361,B_bank,3696969600,atm
3,customer_id,31,withdraw,3696971685,saving_acct,SICMEBNJDHPWWCVZJMUS,ATM,VMZDTVFCDQNGPUHYFVBP,73.33138973731555,15.0,trans_out,Cathay,PVLVMEUDUVGWFHEEQDWR,18361,B_bank,3696969600,atm
4,customer_id,19,withdraw,3696983296,saving_acct,XTXFJVXEYQZOWNWNZVXJ,ATM,GWDIGLGAJYUCPLLPKFYS,680.0661524562983,15.0,trans_out,Cathay,VRKAUYYKMFUFPNLWRDZY,223257,Cathay,3696969600,atm
5,customer_id,44,withdraw,3696983296,saving_acct,XTXFJVXEYQZOWNWNZVXJ,ATM,GWDIGLGAJYUCPLLPKFYS,680.0661524562983,15.0,trans_out,Cathay,VRKAUYYKMFUFPNLWRDZY,223257,Cathay,3696969600,atm
6,customer_id,2,inquire,3696983498,saving_acct,NKUSFYHYYMPPIBRVJMGH,ATM,AHCMEYNDEFYPHDZWUBGM,0.0,0.0,trans_out,Cathay,QDIPHUYWMSAQCIXVAHKF,523453,Cathay,3696969600,atm
7,customer_id,27,inquire,3696983498,saving_acct,NKUSFYHYYMPPIBRVJMGH,ATM,AHCMEYNDEFYPHDZWUBGM,0.0,0.0,trans_out,Cathay,QDIPHUYWMSAQCIXVAHKF,523453,Cathay,3696969600,atm
8,customer_id,18,transfer,3696987417,saving_acct,BGQPQOBMDALBOHDZGGNH,ATM,QDYBCMRSYDKGHACVKDUP,853.5684704115941,15.0,trans_in,Cathay,YBPNGESSENCDPXMTYTAT,139503,B_bank,3696969600,atm
9,customer_id,43,transfer,3696987417,saving_acct,BGQPQOBMDALBOHDZGGNH,ATM,QDYBCMRSYDKGHACVKDUP,853.5684704115941,15.0,trans_in,Cathay,YBPNGESSENCDPXMTYTAT,139503,B_bank,3696969600,atm
10,customer_id,2,withdraw,3696987601,saving_acct,QIFLNTDWHEDIQLIXJARB,ATM,AIWDGCAEFNILSUPRBIUG,1120.0260982410975,15.0,trans_out,B_bank,XABJSQYUOPDWVLSHEJIR,325471,B_bank,3696969600,atm
11,customer_id,27,withdraw,3696987601,saving_acct,QIFLNTDWHEDIQLIXJARB,ATM,AIWDGCAEFNILSUPRBIUG,1120.0260982410975,15.0,trans_out,B_bank,XABJSQYUOPDWVLSHEJIR,325471,B_bank,3696969600,atm
12,customer_id,18,inquire,3696989866,saving_acct,UYBSLEPGPNBDZKAFEXHC,ATM,JROXTGQROKPUWKDYBHFN,0.0,0.0,trans_out,A_bank,TIVVZNDCXHFHHRLJHRWI,372711,B_bank,3696969600,atm
13,customer_id,43,inquire,3696989866,saving_acct,UYBSLEPGPNBDZKAFEXHC,ATM,JROXTGQROKPUWKDYBHFN,0.0,0.0,trans_out,A_bank,TIVVZNDCXHFHHRLJHRWI,372711,B_bank,3696969600,atm
14,customer_id,19,withdraw,3696996163,saving_acct,YMQYMHENIOVHVAFLSOVE,ATM,NQIKIVKGFTDPXJDURGBG,306.5136505034991,15.0,trans_out,B_bank,WIKALDCFXHBGDNJWOQTL,598303,Cathay,3696969600,atm
15,customer_id,44,withdraw,3696996163,saving_acct,YMQYMHENIOVHVAFLSOVE,ATM,NQIKIVKGFTDPXJDURGBG,306.5136505034991,15.0,trans_out,B_bank,WIKALDCFXHBGDNJWOQTL,598303,Cathay,3696969600,atm
16,customer_id,12,inquire,3696997654,saving_acct,BALTRIONOBTAINZZQUDA,ATM,DOTXGIZJIQLQOOEXVWMO,0.0,0.0,trans_out,Cathay,IIOGTHHGGHUSRUFMQFTJ,154843,A_bank,3696969600,atm
17,customer_id,37,inquire,3696997654,saving_acct,BALTRIONOBTAINZZQUDA,ATM,DOTXGIZJIQLQOOEXVWMO,0.0,0.0,trans_out,Cathay,IIOGTHHGGHUSRUFMQFTJ,154843,A_bank,3696969600,atm
18,customer_id,22,inquire,3697002955,saving_acct,UOOANTUJPFKFUPXNOPLO,ATM,XJUYRUDSXNFARWGXCPRG,0.0,0.0,trans_out,Cathay,ZJHTWGJIVTNZBWIMSOWR,325471,Cathay,3696969600,atm
19,customer_id,47,inquire,3697002955,saving_acct,UOOANTUJPFKFUPXNOPLO,ATM,XJUYRUDSXNFARWGXCPRG,0.0,0.0,trans_out,Cathay,ZJHTWGJIVTNZBWIMSOWR,325471,Cathay,3696969600,atm
20,customer_id,14,inquire,3697003268,saving_acct,LXAZGEBYYHJDEUSLIQDL,ATM,LCSIDCMQJOMHRUYPPYAJ,0.0,0.0,trans_out,Cathay,JPRHQNPVAIMIDMDCGJJU,100807,B_bank,3696969600,atm
21,customer_id,39,inquire,3697003268,saving_acct,LXAZGEBYYHJDEUSLIQDL,ATM,LCSIDCMQJOMHRUYPPYAJ,0.0,0.0,trans_out,Cathay,JPRHQNPVAIMIDMDCGJJU,100807,B_bank,3696969600,atm
22,customer_id,20,inquire,3697007080,saving_acct,KCUDJACRUNWXQGEFRTQA,ATM,SSSYSKMFJIRYMXXRGRFF,0.0,0.0,trans_out,Cathay,QWSWNJAJEGCXLCQPLMFM,607621,Cathay,3696969600,atm
